City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
373,Fethiye,TR,85.87,scattered clouds,36.6217,29.1164,Club & Hotel Letoonia
374,Ascension,US,88.2,scattered clouds,30.2169,-90.9001,Highland Inn
379,Great Falls,US,87.67,clear sky,47.5002,-111.3008,La Quinta Inn & Suites by Wyndham Great Falls
382,Abnub,EG,89.82,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
383,Macherla,IN,80.4,overcast clouds,16.4833,79.4333,Vivek express
384,Espanola,US,86.59,broken clouds,35.9911,-106.0806,Santa Claran Hotel Casino
389,Yilan,TW,82.9,clear sky,24.757,121.753,Dar Chen Hotel
392,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
393,Sartana,UA,81.75,few clouds,47.1744,37.6927,Сартана
402,Muisne,EC,75.34,overcast clouds,0.6,-80.0333,Quinta Samay
410,Fare,PF,77.07,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
412,Sao Jose Da Coroa Grande,BR,78.13,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
416,Taylor,US,89.06,broken clouds,32.3001,-99.8337,Elm Creek Bed & Breakfast
418,Buchanan,LR,75.78,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
419,Ocotal,NI,85.39,overcast clouds,13.6321,-86.4752,Hotel Mirador
421,Port-Gentil,GA,75.16,broken clouds,-0.7193,8.7815,Fengshui Residence
427,Eureka,US,79.2,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
428,San Policarpo,PH,77.47,scattered clouds,12.1791,125.5072,Agapita M. Nicart
429,Napanee,CA,78.94,few clouds,44.2501,-76.9494,Fox Motor Inn
435,Baiyin,CN,75.76,overcast clouds,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
443,Matagami,CA,77.47,broken clouds,49.7502,-77.6328,Motel Le Caribou
446,Guerrero,MX,76.62,overcast clouds,17.6667,-100.0,Villaxochilt
450,Kizukuri,JP,78.12,scattered clouds,40.8061,140.3861,Kashiwa Roman-sō
453,North Bend,US,75.24,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
456,Ternate,ID,79.95,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
459,Mastic Beach,US,84.7,overcast clouds,40.7668,-72.8521,Brushwood House by Smith Point Beach
462,Tumpat,MY,80.58,few clouds,6.1978,102.171,Baan Tanyong B&B
463,Tikamgarh,IN,78.35,scattered clouds,24.745,78.8333,White House
466,Denpasar,ID,78.46,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
467,Mahonda,TZ,75.31,broken clouds,-6.45,39.4667,Karamba Resort
472,Chepo,PA,83.98,overcast clouds,9.1667,-79.1,Hotel La Hija Del Conde
475,Winnemucca,US,78.85,few clouds,40.973,-117.7357,Winners Inn Casino
479,Paliyad,IN,81.5,overcast clouds,22.25,71.5667,આપણું બોટાદ
480,Kisangani,CD,79.23,overcast clouds,0.5167,25.2,Grand Ramela Hotel
482,Boffa,GN,79.5,light rain,10.1667,-14.0333,Hôtel Niara Belly
483,Holland,US,83.44,clear sky,42.7875,-86.1089,Hampton Inn Holland
486,Griffith,US,86.25,clear sky,41.5284,-87.4237,Apartment above Depot Bar
492,Santa Cruz De Tenerife,ES,80.87,broken clouds,28.4682,-16.2546,Hotel Silken Atlántida Santa Cruz
494,Olinda,BR,80.33,few clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
496,Berekua,DM,88.74,scattered clouds,15.2333,-61.3167,CarRod's Cottages
500,Palmer,US,85.06,broken clouds,42.1584,-72.3287,Wedgewood Motel
501,Kolarovo,SK,77.22,clear sky,47.9229,17.9847,Penzión Fialový Dom
502,Meridian,US,84.52,haze,43.6121,-116.3915,Courtyard by Marriott Boise West/Meridian
503,Ambon,ID,76.23,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
509,Maceio,BR,83.64,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
510,Lorengau,PG,80.49,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
519,Djenne,ML,89.82,overcast clouds,13.9061,-4.5533,Hôtel Chez Baba
522,Kaohsiung,TW,81.03,broken clouds,22.6163,120.3133,御宿商旅-中山館
523,Koungheul,SN,85.55,overcast clouds,13.9833,-14.8,hotel le PARADIS
526,Antibes,FR,81.86,broken clouds,43.5624,7.1278,"ROYAL ANTIBES Luxury Hotel, Residence, Beach & Spa"
527,Tezu,IN,78.04,scattered clouds,27.9167,96.1667,Circuit House
532,Wajima,JP,80.04,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
533,Faanui,PF,76.68,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
536,Schwalmstadt,DE,78.03,clear sky,50.9333,9.2167,CityStudiosTreysa
544,Maracas,BR,79.23,clear sky,-13.4411,-40.4308,Pousada Vale Aprazível
546,Kamalapuram,IN,81.7,overcast clouds,14.5833,78.65,Arya visha hotel
550,Fecamp,FR,82.11,clear sky,49.7579,0.3746,Hôtel d'Angleterre
555,Kuching,MY,75.42,scattered clouds,1.55,110.3333,Hilton Kuching
556,Vallenar,CL,79.11,overcast clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
557,Saint Anthony,US,86.79,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
561,Fort Nelson,CA,80.04,clear sky,58.8053,-122.7002,The Fort Nelson Hotel
562,Aksu,CN,76.53,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
565,Capitao Poco,BR,86.83,broken clouds,-1.7464,-47.0594,Hotel New Tokyo
567,Turayf,SA,88.05,clear sky,31.6725,38.6637,Turaif
569,Moengo,SR,83.82,overcast clouds,5.6167,-54.4,Masanga
571,Manaure,CO,89.83,overcast clouds,11.7751,-72.4445,Hotel Palaaima
574,Sainte-Maxime,FR,86.92,clear sky,43.3,6.6333,Hôtel Les Jardins De Sainte Maxime
580,Umred,IN,77.29,overcast clouds,20.85,79.3333,"Dr.Babasaheb Ambedkar Goverment Boys Hostel ,Umred"
585,San Quintin,MX,79.72,scattered clouds,30.4833,-115.95,Don Eddie's / Hotel - Restaurant
