City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
116,Baza,ES,37.4907,-2.7726,87.42,28,0,11.99,clear sky
117,Buluang,PH,13.3068,123.3425,76.75,90,100,1.16,overcast clouds
118,Guerrero Negro,MX,27.9769,-114.0611,84.52,51,31,13.91,scattered clouds
119,Saint George,US,37.1041,-113.5841,94.42,37,0,3.0,clear sky
120,Tilichiki,RU,60.4667,166.1,50.94,94,100,9.84,light rain
121,Coihaique,CL,-45.5752,-72.0662,48.15,71,100,4.61,overcast clouds
122,Verkhovazhye,RU,60.7472,42.0465,53.47,95,7,3.47,clear sky
123,Kurayoshi,JP,35.4333,133.8167,78.31,86,100,5.21,overcast clouds
124,Saint-Pierre,RE,-21.3393,55.4781,67.91,72,20,28.77,few clouds
125,Carnarvon,AU,-24.8667,113.6333,58.23,54,0,17.11,clear sky
126,Taoudenni,ML,22.6783,-3.9836,106.47,14,95,7.7,overcast clouds
127,Timizart,DZ,36.8,4.2667,80.69,40,1,8.97,clear sky
128,Meulaboh,ID,4.1363,96.1285,76.53,88,41,4.34,scattered clouds
129,Kyra,RU,49.5776,111.9753,52.11,59,100,4.65,overcast clouds
130,Saint-Joseph,RE,-21.3667,55.6167,64.78,74,26,16.91,scattered clouds
131,Provideniya,RU,64.3833,-173.3,50.81,88,100,6.08,overcast clouds
132,Cherskiy,RU,68.75,161.3,55.69,72,0,3.02,clear sky
133,Talnakh,RU,69.4865,88.3972,49.21,83,100,6.29,overcast clouds
134,Zermatt,CH,46.0213,7.7491,71.1,70,15,3.44,few clouds
135,Umea,SE,63.8284,20.2597,60.73,88,0,9.22,clear sky
136,Baykit,RU,61.67,96.37,59.31,85,100,2.55,overcast clouds
137,Batemans Bay,AU,-35.7167,150.1833,52.11,87,100,4.94,overcast clouds
138,Domoni,KM,-12.2569,44.5319,74.28,83,7,1.66,clear sky
139,Risod,IN,19.9667,76.7833,72.77,92,100,15.35,overcast clouds
140,Luderitz,NA,-26.6481,15.1594,57.18,75,66,14.72,broken clouds
141,Severo-Kurilsk,RU,50.6789,156.125,54.37,95,57,10.22,broken clouds
142,Venado Tuerto,AR,-33.7456,-61.9688,60.76,36,100,18.3,overcast clouds
143,Awassa,ET,7.05,38.4667,60.51,85,100,4.07,overcast clouds
144,Takaka,NZ,-40.85,172.8,42.57,88,65,4.23,broken clouds
145,Hobart,AU,-42.8794,147.3294,41.27,85,2,5.75,clear sky
146,Port Hawkesbury,CA,45.6169,-61.3485,68.18,94,100,5.01,overcast clouds
147,Havelock,US,34.8791,-76.9013,95.99,68,20,13.8,few clouds
148,Angoche,MZ,-16.2325,39.9086,73.17,73,0,6.13,clear sky
149,Beisfjord,NO,68.3751,17.5988,59.05,95,100,6.91,light rain
150,Kaitangata,NZ,-46.2817,169.8464,37.0,86,100,0.72,overcast clouds
151,Chishan,TW,22.6392,120.3565,80.91,88,75,4.61,broken clouds
152,Besao,PH,17.095,120.8579,62.37,94,100,2.28,overcast clouds
153,Takoradi,GH,4.8845,-1.7554,74.82,82,83,11.25,broken clouds
154,Husavik,IS,66.0449,-17.3389,45.54,87,94,13.24,overcast clouds
155,Ostrovnoy,RU,68.0531,39.5131,57.92,80,100,20.89,light rain
156,Henties Bay,NA,-22.116,14.2845,54.1,89,0,5.46,clear sky
157,Charyshskoye,RU,51.3978,83.5598,62.22,72,100,4.07,overcast clouds
158,Zhigansk,RU,66.7697,123.3711,56.23,81,100,7.63,overcast clouds
